Date,SO2,NO2,PM10,Station Name,Station ID
12-10-2015,10,9,55,Vasco,18
15-12-2015,4,8,63,Vasco,18
17-12-2015,7,10,201,Vasco,18
22-12-2015,6,14,276,Vasco,18
24-12-2015,0,0,298,Vasco,18
29-12-2015,7,8,154,Vasco,18
31-12-2015,3,12,285,Vasco,18
01-02-2015,4,9,70,Curchorem,8
01-07-2015,4,9,77,Curchorem,8
01-09-2015,4,10,88,Curchorem,8
13-01-2015,4,9,43,Curchorem,8
15-01-2015,4,11,32,Curchorem,8
21-01-2015,4,9,33,Curchorem,8
23-01-2015,4,11,32,Curchorem,8
27-01-2015,4,9,81,Curchorem,8
29-01-2015,4,9,74,Curchorem,8
02-03-2015,4,9,75,Curchorem,8
02-05-2015,4,9,71,Curchorem,8
02-10-2015,4,9,80,Curchorem,8
02-12-2015,4,9,79,Curchorem,8
17-02-2015,5,10,87,Curchorem,8
19-02-2015,4,9,77,Curchorem,8
24-02-2015,4,9,83,Curchorem,8
26-02-2015,4,9,59,Curchorem,8
03-04-2015,4,9,77,Curchorem,8
03-07-2015,4,9,58,Curchorem,8
03-10-2015,4,9,56,Curchorem,8
03-12-2015,5,10,67,Curchorem,8
17-03-2015,4,9,62,Curchorem,8
19-03-2015,4,9,48,Curchorem,8
26-03-2015,5,10,73,Curchorem,8
28-03-2015,4,9,55,Curchorem,8
04-01-2015,4,9,56,Curchorem,8
04-03-2015,4,9,54,Curchorem,8
04-07-2015,5,9,82,Curchorem,8
04-09-2015,4,8,85,Curchorem,8
14-04-2015,4,12,71,Curchorem,8
16-04-2015,4,9,64,Curchorem,8
21-04-2015,4,11,76,Curchorem,8
23-04-2015,4,9,53,Curchorem,8
30-04-2015,4,9,48,Curchorem,8
05-02-2015,5,9,54,Curchorem,8
05-05-2015,4,9,48,Curchorem,8
05-07-2015,4,9,52,Curchorem,8
05-12-2015,4,8,65,Curchorem,8
14-05-2015,4,9,46,Curchorem,8
19-05-2015,4,9,48,Curchorem,8
21-05-2015,4,12,58,Curchorem,8
26-05-2015,4,9,37,Curchorem,8
28-05-2015,4,9,48,Curchorem,8
06-02-2015,4,9,51,Curchorem,8
06-04-2015,4,9,51,Curchorem,8
06-09-2015,4,9,56,Curchorem,8
06-11-2015,4,8,55,Curchorem,8
16-06-2015,4,8,32,Curchorem,8
18-06-2015,3,8,31,Curchorem,8
23-06-2015,3,6,34,Curchorem,8
25-06-2015,4,8,26,Curchorem,8
07-01-2015,2,6,40,Curchorem,8
07-03-2015,4,9,42,Curchorem,8
07-07-2015,4,9,46,Curchorem,8
07-09-2015,3,6,40,Curchorem,8
14-07-2015,3,7,37,Curchorem,8
16-07-2015,3,7,30,Curchorem,8
21-07-2015,4,9,41,Curchorem,8
23-07-2015,3,7,35,Curchorem,8
28-07-2015,3,9,35,Curchorem,8
30-07-2015,3,6,40,Curchorem,8
08-05-2015,3,9,35,Curchorem,8
08-07-2015,4,9,36,Curchorem,8
08-12-2015,3,7,31,Curchorem,8
14-08-2015,3,7,30,Curchorem,8
19-08-2015,4,9,36,Curchorem,8
21-08-2015,3,7,34,Curchorem,8
25-08-2015,3,7,31,Curchorem,8
27-08-2015,4,9,47,Curchorem,8
09-01-2015,3,7,32,Curchorem,8
09-04-2015,3,6,31,Curchorem,8
09-08-2015,3,7,31,Curchorem,8
09-11-2015,3,8,33,Curchorem,8
15-09-2015,3,7,30,Curchorem,8
19-09-2015,4,9,36,Curchorem,8
22-09-2015,3,8,34,Curchorem,8
25-09-2015,3,8,33,Curchorem,8
10-03-2015,4,9,43,Curchorem,8
10-06-2015,4,9,43,Curchorem,8
10-09-2015,4,9,31,Curchorem,8
13-10-2015,4,10,32,Curchorem,8
