Date,PM10,Station ID
01-09-2016,47.36666667,4
01-10-2016,70.8625,4
01-11-2016,116.3555556,4
01-12-2016,113.7666667,4
01-01-2017,107.1333333,4
01-02-2017,101.65,4
01-04-2017,89.9,4
01-05-2017,83.48888889,4
01-06-2017,46.21111111,4
01-07-2017,32.8375,4
01-08-2017,38.07777778,4
01-09-2017,38.88888889,4
01-10-2017,62.025,4
01-11-2017,74.07,4
01-12-2017,77.2125,4
01-01-2018,173.0666667,4
01-02-2018,149.15,4
01-03-2018,149.3777778,4
01-04-2018,145.5875,4
01-05-2018,69.55555556,4
01-06-2018,34.025,4
01-07-2018,28.9125,4
01-08-2018,36.7,4
01-11-2018,68.635,4
01-12-2018,68.53333333,4
01-01-2019,89.57888889,4
01-02-2019,111.4075,4
01-03-2019,111.1777778,4
01-04-2019,100.4444444,4
01-05-2019,59.88888889,4
01-06-2019,42.625,4
01-07-2019,35,4
01-08-2019,35.44444444,4
01-09-2019,45.5,4
01-10-2019,54.44444444,4
01-11-2019,56.11111111,4
01-12-2019,54.11111111,4
01-01-2020,60.66666667,4
01-02-2020,74.375,4
01-03-2020,56.33333333,4
01-04-2020,41.33333333,4
01-05-2020,55.88888889,4
01-06-2020,46.66666667,4
01-07-2020,42.55555556,4
01-08-2020,44.125,4
01-09-2020,48.66666667,4
01-10-2020,56,4
01-11-2020,66.875,4
01-12-2020,79.88888889,4
01-01-2021,73.88888889,4
01-02-2021,78.375,4
01-03-2021,78.22222222,4
01-04-2016,53.6375,5
01-05-2016,55.91111111,5
01-06-2016,32.1125,5
01-07-2016,26.55555556,5
01-08-2016,19.43333333,5
01-09-2016,32.85555556,5
01-10-2016,38.4875,5
01-11-2016,45.9,5
01-12-2016,55.65555556,5
01-01-2017,64.46666667,5
01-02-2017,67.1375,5
01-04-2017,79.0625,5
01-05-2017,61.47777778,5
01-06-2017,37.57777778,5
01-07-2017,41.8875,5
01-08-2017,37.67777778,5
01-09-2017,48.52222222,5
01-10-2017,62.15555556,5
01-11-2017,71.925,5
01-12-2017,68.67777778,5
01-01-2018,71.84444444,5
01-02-2018,74.1875,5
01-03-2018,75.87777778,5
01-04-2018,66.9,5
01-05-2018,66.27777778,5
01-06-2018,40.05,5
01-07-2018,39.12222222,5
01-08-2018,50.27777778,5
01-11-2018,78.58,5
01-12-2018,64.9725,5
01-01-2019,88.1,5
01-02-2019,73.99875,5
01-03-2019,98.76666667,5
01-04-2019,48.5,5
01-05-2019,67.88888889,5
01-06-2019,45.22222222,5
01-07-2019,35.11111111,5
01-08-2019,35.77777778,5
01-09-2019,45.25,5
01-10-2019,48.77777778,5
01-11-2019,48.11111111,5
01-12-2019,50.125,5
01-01-2020,55,5
01-02-2020,60.77777778,5
